point, temp, num 
강릉,11.6,52
강진군,10.0,43
강화,11.7,59
거제,11.5,56
거창,10.7,51
경주시,10.2,52
고산,13.4,63
고창,8.9,45
고창군,10.0,48
고흥,9.4,44
광양시,10.9,47
광주,9.0,41
구미,10.0,47
군산,12.8,61
금산,10.0,49
김해시,10.1,44
남원,10.2,46
남해,11.4,50
대관령,9.9,67
대구,11.7,54
대전,9.0,43
동두천,11.4,55
동해,11.4,62
목포,10.5,56
문경,10.3,51
밀양,8.3,40
백령도,10.1,66
보령,11.8,58
보성군,11.9,51
보은,10.6,54
봉화,8.3,47
부산,12.2,54
부안,12.0,58
부여,11.1,51
북강릉,11.4,60
북창원,10.7,45
북춘천,10.3,52
산청,10.8,49
상주,10.7,52
서귀포,14.3,64
서산,11.4,52
서울,10.2,46
성산,14.0,64
세종,10.7,51
속초,10.8,57
수원,8.4,41
순창군,10.2,45
순천,9.6,45
안동,8.8,44
양산시,10.6,46
양평,10.2,50
여수,9.9,47
영광군,10.5,53
영덕,9.8,56
영월,9.1,47
영주,9.3,48
영천,8.8,48
완도,11.0,47
울릉도,11.1,68
울산,10.0,53
울진,11.0,62
원주,9.0,47
의령군,11.0,47
의성,9.8,45
이천,10.3,50
인제,10.7,54
인천,9.9,50
임실,11.2,51
장수,11.1,54
장흥,11.5,49
전주,10.6,49
정선군,10.3,64
정읍,9.4,47
제주,14.3,66
제천,8.9,48
진도군,10.7,54
진주,11.5,49
창원,9.2,43
천안,9.6,48
철원,8.6,46
청송군,10.8,55
청주,9.9,45
추풍령,9.0,52
춘천,11.6,53
충주,9.7,48
태백,9.0,59
통영,14.3,57
파주,10.7,52
포항,12.6,63
함양군,7.4,38
합천,10.2,47
해남,10.0,46
홍성,9.8,48
홍천,9.2,48
흑산도,11.3,63
