순위,곡명,가수,앨범
1위,Nxde,(여자)아이들,I love
2위,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
3위,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
4위,After LIKE,IVE (아이브),After LIKE
5위,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
6위,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
7위,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
8위,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
9위,Shut Down,BLACKPINK,BORN PINK
10위,Monologue,테이,Monologue
11위,Pink Venom,BLACKPINK,BORN PINK
12위,LOVE DIVE,IVE (아이브),LOVE DIVE
13위,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
14위,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
15위,딱 10CM만,10CM,딱 10CM만
16위,우리들의 블루스,임영웅,IM HERO
17위,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
18위,우린 그렇게 사랑해서,강민경 (다비치),우린 그렇게 사랑해서
19위,다시 만날 수 있을까,임영웅,IM HERO
20위,그라데이션,10CM,5.3
21위,TOMBOY,(여자)아이들,I NEVER DIE
22위,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
23위,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
24위,무지개,임영웅,IM HERO
25위,해요 (2022),#안녕,해요 (2022)
26위,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
27위,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
28위,내가 아니라도,주호,내가 아니라도
29위,아버지,임영웅,IM HERO
30위,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
31위,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
32위,A bientot,임영웅,IM HERO
33위,손이 참 곱던 그대,임영웅,IM HERO
34위,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
35위,나의 X에게,경서,나의 X에게
36위,인생찬가,임영웅,IM HERO
37위,사랑해 진짜,임영웅,IM HERO
38위,LAW (Prod. Czaer),윤미래,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
39위,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
40위,ELEVEN,IVE (아이브),ELEVEN
41위,연애편지,임영웅,IM HERO
42위,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
43위,That's Hilarious,Charlie Puth,CHARLIE
44위,취중고백,김민석 (멜로망스),취중고백
45위,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
46위,사랑역,임영웅,IM HERO
47위,SNEAKERS,ITZY (있지),CHECKMATE
